# K, H-K
1.503400000000000070e+01,1.212999999999999190e+00
1.713400000000000034e+01,1.403999999999999915e+00
1.621900000000000119e+01,2.070999999999997954e+00
1.499600000000000044e+01,3.889999999999993463e-01
1.570800000000000018e+01,9.809999999999998721e-01
1.501299999999999990e+01,4.139999999999997016e-01
1.542699999999999960e+01,1.428000000000000824e+00
1.661299999999999955e+01,1.727000000000000313e+00
1.609499999999999886e+01,1.978000000000001535e+00
1.600100000000000122e+01,1.910999999999997812e+00
1.208200000000000074e+01,5.499999999999971578e-02
1.410800000000000054e+01,1.123999999999998778e+00
1.729299999999999926e+01,1.254000000000001336e+00
1.677700000000000102e+01,1.369999999999997442e+00
1.680999999999999872e+01,1.477000000000000313e+00
1.401999999999999957e+01,1.319000000000000838e+00
1.524600000000000044e+01,3.227999999999999758e+00
1.280700000000000038e+01,1.584999999999999076e+00
1.578800000000000026e+01,1.698999999999998067e+00
1.346700000000000053e+01,1.511999999999998678e+00
1.454899999999999949e+01,1.471000000000000085e+00
1.495199999999999996e+01,1.793999999999998707e+00
1.509399999999999942e+01,2.370000000000000995e-01
1.714999999999999858e+01,7.720000000000020179e-01
1.673600000000000065e+01,1.580999999999999517e+00
1.304599999999999937e+01,1.360000000000001208e+00
1.536400000000000077e+01,1.782000000000000028e+00
1.762900000000000134e+01,9.529999999999994031e-01
1.418200000000000038e+01,1.788000000000000256e+00
1.768499999999999872e+01,1.242000000000000881e+00
1.466000000000000014e+01,1.682999999999999829e+00
1.429299999999999926e+01,1.549000000000001265e+00
1.423900000000000077e+01,1.758999999999998565e+00
1.071599999999999930e+01,6.539999999999999147e-01
1.583399999999999963e+01,1.091999999999998749e+00
1.652599999999999980e+01,2.321000000000001506e+00
1.393900000000000006e+01,1.333000000000000185e+00
1.611299999999999955e+01,1.413000000000000256e+00
1.450200000000000067e+01,1.394000000000000128e+00
1.240300000000000047e+01,1.340999999999999304e+00
1.512299999999999933e+01,1.313000000000000611e+00
1.549699999999999989e+01,1.460000000000000853e+00
1.694300000000000139e+01,1.481999999999999318e+00
1.732100000000000151e+01,1.535000000000000142e+00
1.681599999999999895e+01,1.739000000000000767e+00
1.225600000000000023e+01,1.557999999999999829e+00
1.375099999999999945e+01,1.370000000000004547e-01
1.586299999999999955e+01,1.571999999999999176e+00
1.680499999999999972e+01,5.710000000000015064e-01
1.245700000000000074e+01,1.565999999999998948e+00
1.737600000000000122e+01,1.983999999999998209e+00
1.583999999999999986e+01,9.349999999999987210e-01
1.793199999999999861e+01,9.260000000000019327e-01
1.717000000000000171e+01,1.070999999999997954e+00
1.740700000000000003e+01,1.635999999999999233e+00
1.738299999999999912e+01,1.384000000000000341e+00
1.626500000000000057e+01,1.960000000000000853e+00
1.591799999999999926e+01,1.496999999999999886e+00
1.472700000000000031e+01,1.532000000000000028e+00
1.072300000000000075e+01,8.279999999999994031e-01
1.681599999999999895e+01,2.045000000000001705e+00
1.677199999999999847e+01,1.159000000000002473e+00
1.696600000000000108e+01,1.568999999999999062e+00
1.656599999999999895e+01,1.454000000000000625e+00
1.757199999999999918e+01,1.126000000000001222e+00
